Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,14.033333,14.033333,13.840000,13.860000,13.860000,118500
2021-11-23,13.406667,13.860000,13.406667,13.833333,13.833333,89250
2021-11-24,13.833333,13.853333,13.773333,13.853333,13.853333,61050
2021-11-26,13.460000,14.580000,13.460000,13.813333,13.813333,50700
2021-11-29,13.166667,13.613333,13.166667,13.580000,13.580000,204900
2021-11-30,13.386667,13.473333,13.246667,13.380000,13.380000,370200
2021-12-01,13.620000,13.633333,13.413333,13.440000,13.440000,129000
2021-12-02,13.700000,13.813333,13.686667,13.766667,13.766667,181050
2021-12-03,14.013333,14.013333,13.786667,13.900000,13.900000,111450
2021-12-06,14.086667,14.113333,14.060000,14.106667,14.106667,126900
2021-12-07,14.280000,14.333333,14.280000,14.333333,14.333333,186900
2021-12-08,14.633333,14.726667,14.633333,14.686667,14.686667,70350
2021-12-09,14.213333,14.846667,14.213333,14.633333,14.633333,35250
2021-12-10,14.740000,14.740000,14.513333,14.720000,14.720000,79950
2021-12-13,14.486667,14.486667,14.400000,14.406667,14.406667,156900
2021-12-14,14.513333,14.513333,14.433333,14.473333,14.473333,283500
2021-12-15,14.580000,14.686667,14.553333,14.680000,14.680000,65100
2021-12-16,14.813333,14.813333,14.653333,14.713333,14.713333,100950
2021-12-17,15.160000,15.160000,14.900000,14.900000,14.900000,151350
2021-12-20,14.666667,14.666667,14.340000,14.393333,14.393333,65250
2021-12-21,14.353333,14.440000,14.353333,14.366667,14.366667,194400
2021-12-22,13.893333,14.380000,13.893333,14.200000,14.200000,69150
2021-12-23,14.266667,14.386667,14.146667,14.313333,14.313333,127200
2021-12-27,14.560000,14.666667,14.560000,14.660000,14.660000,68400
2021-12-28,14.693333,14.753333,14.673333,14.746667,14.746667,88200
2021-12-29,15.213333,15.213333,14.646667,14.713333,14.713333,81150
2021-12-30,14.660000,14.680000,14.633333,14.646667,14.646667,72600
2021-12-31,14.600000,14.686667,14.600000,14.640000,14.640000,38400
2022-01-03,14.613333,14.660000,14.600000,14.660000,14.660000,58650
2022-01-04,14.846667,15.146667,14.846667,14.953333,14.953333,111000
2022-01-05,15.133333,15.133333,14.973333,14.980000,14.980000,59250
2022-01-06,14.426667,14.933333,14.426667,14.880000,14.880000,76050
2022-01-07,14.806667,14.806667,14.626667,14.700000,14.700000,114450
2022-01-10,14.746667,14.746667,14.633333,14.700000,14.700000,91350
2022-01-11,14.746667,14.746667,14.473333,14.620000,14.620000,109800
2022-01-12,14.680000,14.773333,14.540000,14.606667,14.606667,917250
2022-01-13,14.406667,14.573333,14.406667,14.453333,14.453333,420300
2022-01-14,15.233333,15.233333,14.973333,15.100000,15.100000,71700
2022-01-18,15.006667,15.066667,14.993333,15.040000,15.040000,127050
2022-01-19,15.400000,15.400000,14.933333,14.946667,14.946667,122700
2022-01-20,15.233333,15.340000,15.166667,15.166667,15.166667,129450
2022-01-21,15.253333,15.333333,15.213333,15.220000,15.220000,79200
2022-01-24,15.253333,15.333333,15.000000,15.280000,15.280000,228900
2022-01-25,14.946667,15.880000,14.946667,15.820000,15.820000,218250
2022-01-26,15.246667,15.806667,15.246667,15.513333,15.513333,125550
2022-01-27,15.993333,15.993333,15.520000,15.566667,15.566667,128250
2022-01-28,15.493333,15.666667,15.493333,15.646667,15.646667,91050
2022-01-31,16.760000,17.193333,16.620001,17.193333,17.193333,123750
2022-02-01,16.700001,17.213333,16.700001,16.933332,16.933332,342000
